거주지명,광역지자체 비율(%),기초지자체 비율(%)
부산광역시 북구,40.9,5.203
부산광역시 부산진구,40.9,4.211
부산광역시 해운대구,40.9,3.579
부산광역시 사하구,40.9,3.378
부산광역시 동래구,40.9,3.219
부산광역시 강서구,40.9,3.278
부산광역시 금정구,40.9,2.984
부산광역시 사상구,40.9,2.881
부산광역시 남구,40.9,2.772
부산광역시 연제구,40.9,2.34
부산광역시 기장군,40.9,1.991
부산광역시 수영구,40.9,1.767
부산광역시 서구,40.9,0.988
부산광역시 영도구,40.9,0.904
부산광역시 동구,40.9,0.831
부산광역시 중구,40.9,0.517
경기도 화성시,10,0.823
경기도 평택시,10,0.683
경기도 부천시,10,0.069
경기도 남양주시,10,0.449
경기도 성남시 분당구,10,0.426
경기도 용인시 기흥구,10,0.406
경기도 김포시,10,0.331
경기도 고양시 덕양구,10,0.317
경기도 시흥시,10,0.328
경기도 광주시,10,0.309
경기도 수원시 권선구,10,0.294
경기도 용인시 수지구,10,0.312
경기도 수원시 영통구,10,0.309
경기도 하남시,10,0.246
경기도 파주시,10,0.259
경기도 용인시 처인구,10,0.269
경기도 안양시 동안구,10,0.244
경기도 안산시 단원구,10,0.224
경기도 의정부시,10,0.224
경기도 고양시 일산동구,10,0.21
경기도 안산시 상록구,10,0.198
경기도 오산시,10,0.214
경기도 군포시,10,0.184
경기도 성남시 수정구,10,0.2
경기도 수원시 장안구,10,0.202
경기도 이천시,10,0.195
경기도 안성시,10,0.191
경기도 수원시 팔달구,10,0.181
경기도 광명시,10,0.155
경기도 고양시 일산서구,10,0.176
경기도 양주시,10,0.163
경기도 구리시,10,0.139
경기도 안양시 만안구,10,0.148
경기도 성남시 중원구,10,0.132
경기도 의왕시,10,0.113
경기도 양평군,10,0.098
경기도 여주시,10,0.104
경기도 포천시,10,0.101
경기도 과천시,10,0.071
경기도 가평군,10,0.053
경기도 동두천시,10,0.044
경기도 연천군,10,0.032
경기도 부천시 원미구,10,0.214
경기도 부천시 소사구,10,0.109
경기도 부천시 오정구,10,0.057
대구광역시 달서구,9.5,2.269
대구광역시 달성군,9.5,1.826
대구광역시 북구,9.5,1.55
대구광역시 수성구,9.5,1.253
대구광역시 동구,9.5,1.152
대구광역시 남구,9.5,0.512
대구광역시 서구,9.5,0.483
대구광역시 중구,9.5,0.336
대구광역시 군위군,9.5,0.049
서울특별시 송파구,7.5,0.548
서울특별시 관악구,7.5,0.54
서울특별시 강남구,7.5,0.524
서울특별시 강서구,7.5,0.428
서울특별시 영등포구,7.5,0.373
서울특별시 강동구,7.5,0.361
서울특별시 동작구,7.5,0.373
서울특별시 서초구,7.5,0.345
서울특별시 마포구,7.5,0.345
서울특별시 성북구,7.5,0.338
서울특별시 노원구,7.5,0.31
서울특별시 은평구,7.5,0.302
서울특별시 서대문구,7.5,0.297
서울특별시 광진구,7.5,0.288
서울특별시 동대문구,7.5,0.279
서울특별시 구로구,7.5,0.277
서울특별시 중랑구,7.5,0.228
서울특별시 양천구,7.5,0.242
서울특별시 성동구,7.5,0.251
서울특별시 용산구,7.5,0.189
서울특별시 강북구,7.5,0.16
서울특별시 금천구,7.5,0.166
서울특별시 종로구,7.5,0.152
서울특별시 도봉구,7.5,0.144
서울특별시 중구,7.5,0.111
경상북도 경산시,6.9,1.125
경상북도 구미시,6.9,0.94
경상북도 경주시,6.9,0.834
경상북도 포항시 북구,6.9,0.601
경상북도 포항시 남구,6.9,0.562
경상북도 김천시,6.9,0.363
경상북도 칠곡군,6.9,0.333
경상북도 청도군,6.9,0.334
경상북도 고령군,6.9,0.265
경상북도 안동시,6.9,0.26
경상북도 영천시,6.9,0.225
경상북도 성주군,6.9,0.169
경상북도 상주시,6.9,0.162
경상북도 영주시,6.9,0.143
경상북도 울진군,6.9,0.111
경상북도 의성군,6.9,0.081
경상북도 예천군,6.9,0.096
경상북도 문경시,6.9,0.088
경상북도 영덕군,6.9,0.072
경상북도 청송군,6.9,0.059
경상북도 영양군,6.9,0.03
경상북도 봉화군,6.9,0.036
경상북도 울릉군,6.9,0.031
울산광역시 울주군,6.6,2.13
울산광역시 남구,6.6,1.731
울산광역시 중구,6.6,0.973
울산광역시 북구,6.6,1.004
울산광역시 동구,6.6,0.752
전라남도 광양시,4.3,1.124
전라남도 순천시,4.3,0.8
전라남도 여수시,4.3,0.656
전라남도 목포시,4.3,0.287
전라남도 나주시,4.3,0.163
전라남도 구례군,4.3,0.122
전라남도 영암군,4.3,0.119
전라남도 무안군,4.3,0.125
전라남도 화순군,4.3,0.076
전라남도 고흥군,4.3,0.091
전라남도 담양군,4.3,0.065
전라남도 완도군,4.3,0.065
전라남도 장성군,4.3,0.058
전라남도 장흥군,4.3,0.053
전라남도 영광군,4.3,0.059
전라남도 해남군,4.3,0.072
전라남도 곡성군,4.3,0.047
전라남도 보성군,4.3,0.06
전라남도 강진군,4.3,0.042
전라남도 신안군,4.3,0.048
전라남도 진도군,4.3,0.03
전라남도 함평군,4.3,0.024
전북특별자치도 전주시 덕진구,2.4,0.379
전북특별자치도 전주시 완산구,2.4,0.363
전북특별자치도 남원시,2.4,0.337
전북특별자치도 군산시,2.4,0.348
전북특별자치도 익산시,2.4,0.325
전북특별자치도 완주군,2.4,0.16
전북특별자치도 무주군,2.4,0.094
전북특별자치도 정읍시,2.4,0.087
전북특별자치도 장수군,2.4,0.064
전북특별자치도 김제시,2.4,0.079
전북특별자치도 부안군,2.4,0.051
전북특별자치도 고창군,2.4,0.05
전북특별자치도 순창군,2.4,0.034
전북특별자치도 진안군,2.4,0.034
전북특별자치도 임실군,2.4,0.027
충청남도 아산시,2.3,0.373
충청남도 천안시 서북구,2.3,0.349
충청남도 천안시 동남구,2.3,0.268
충청남도 당진시,2.3,0.19
충청남도 서산시,2.3,0.174
충청남도 논산시,2.3,0.134
충청남도 보령시,2.3,0.102
충청남도 공주시,2.3,0.093
충청남도 금산군,2.3,0.098
충청남도 계룡시,2.3,0.088
충청남도 홍성군,2.3,0.073
충청남도 태안군,2.3,0.069
충청남도 부여군,2.3,0.059
충청남도 예산군,2.3,0.062
충청남도 서천군,2.3,0.047
충청남도 청양군,2.3,0.023
대전광역시 유성구,1.9,0.618
대전광역시 서구,1.9,0.552
대전광역시 동구,1.9,0.277
대전광역시 중구,1.9,0.248
대전광역시 대덕구,1.9,0.216
충청북도 청주시 흥덕구,1.7,0.3
충청북도 충주시,1.7,0.254
충청북도 청주시 청원구,1.7,0.216
충청북도 청주시 서원구,1.7,0.195
충청북도 청주시 상당구,1.7,0.162
충청북도 음성군,1.7,0.141
충청북도 진천군,1.7,0.114
충청북도 영동군,1.7,0.093
충청북도 제천시,1.7,0.084
충청북도 옥천군,1.7,0.08
충청북도 증평군,1.7,0.048
충청북도 괴산군,1.7,0.04
충청북도 보은군,1.7,0.041
충청북도 단양군,1.7,0.028
광주광역시 북구,1.6,0.512
광주광역시 광산구,1.6,0.507
광주광역시 서구,1.6,0.314
광주광역시 남구,1.6,0.201
광주광역시 동구,1.6,0.127
인천광역시 서구,1.6,0.393
인천광역시 연수구,1.6,0.272
인천광역시 부평구,1.6,0.247
인천광역시 남동구,1.6,0.244
인천광역시 미추홀구,1.6,0.207
인천광역시 중구,1.6,0.15
인천광역시 계양구,1.6,0.134
인천광역시 옹진군,1.6,0.032
인천광역시 강화군,1.6,0.035
인천광역시 동구,1.6,0.021
강원특별자치도 원주시,0.9,0.249
강원특별자치도 춘천시,0.9,0.151
강원특별자치도 강릉시,0.9,0.143
강원특별자치도 동해시,0.9,0.104
강원특별자치도 삼척시,0.9,0.073
강원특별자치도 평창군,0.9,0.053
강원특별자치도 홍천군,0.9,0.049
강원특별자치도 태백시,0.9,0.044
강원특별자치도 속초시,0.9,0.053
강원특별자치도 횡성군,0.9,0.034
강원특별자치도 고성군,0.9,0.031
강원특별자치도 철원군,0.9,0.032
강원특별자치도 양양군,0.9,0.032
강원특별자치도 정선군,0.9,0.032
강원특별자치도 인제군,0.9,0.037
강원특별자치도 영월군,0.9,0.027
강원특별자치도 화천군,0.9,0.026
강원특별자치도 양구군,0.9,0.023
제주특별자치도 제주시,0.8,0.547
제주특별자치도 서귀포시,0.8,0.266
세종특별자치시,0.5,0.508
