순위,분류,관련 키워드,언급건수
1,휴식/힐링,힐링,248240
2,레포츠,캠핑,112578
3,레포츠,등산,83815
4,휴식/힐링,나들이,73424
5,레포츠,빠지,59438
6,레포츠,낚시,57478
7,기타,투어,53639
8,휴식/힐링,휴양,42790
9,레포츠,산행,37756
10,휴식/힐링,피크닉,31866
11,레포츠,트레킹,22803
12,휴식/힐링,불멍,22496
13,레포츠,글램핑,21169
14,레포츠,레저,20314
15,휴식/힐링,즐길거리,19060
16,레포츠,스키,18129
17,기타,데이트코스,17276
18,휴식/힐링,야영,16672
19,레포츠,오토캠핑,13385
20,레포츠,제트스키,12796
21,기타,답사,11821
22,기타,해외여행,11126
23,휴식/힐링,재충전,9768
24,레포츠,차박,9366
25,레포츠,해양레저,9049
26,레포츠,서핑,7954
27,레포츠,짚라인,7808
28,휴식/힐링,물멍,7360
29,레포츠,트래킹,6939
30,휴식/힐링,테라피,6765
31,레포츠,카약,6733
32,휴식/힐링,생태관광,6533
33,레포츠,하이킹,6527
34,레포츠,바다낚시,6182
35,미식,맛집탐방,6159
36,체험,갯벌체험,6148
37,레포츠,레포츠,6095
38,미식,먹부림,6042
39,휴식/힐링,힐링여행,5926
40,체험,생태체험,5925
41,휴식/힐링,호캉스,5665
42,휴식/힐링,가을여행,5379
43,체험,템플스테이,5196
44,레포츠,게이트볼,4831
45,휴식/힐링,워케이션,4805
46,레포츠,스노클링,4796
47,휴식/힐링,신혼여행,4693
48,휴식/힐링,촌캉스,4592
49,레포츠,캠프파이어,4108
50,레포츠,클라이밍,3989
51,휴식/힐링,겨울여행,3782
52,미식,맛집투어,3734
53,체험,농촌체험,3647
54,미식,카페투어,3615
55,기타,부산여행,3456
56,레포츠,수상레저,3403
57,기타,일본여행,3140
58,체험,수학여행,3021
59,레포츠,래프팅,2984
60,체험,목공체험,2891
61,휴식/힐링,드라이브코스,2857
62,레포츠,백패킹,2808
63,레포츠,스쿠버,2794
64,미식,빵지순례,2569
65,휴식/힐링,요트투어,2555
66,레포츠,해양스포츠,2506
67,레포츠,해양레포츠,2500
68,레포츠,프리다이빙,2488
69,체험,어촌체험,2456
70,휴식/힐링,바다멍,2416
71,레포츠,패러글라이딩,2311
72,휴식/힐링,봄여행,2289
73,레포츠,수상레져,2255
74,휴식/힐링,일광욕,2247
75,레포츠,스쿼시,2236
76,기타,기차여행,2188
77,레포츠,스노쿨링,2157
78,휴식/힐링,단풍놀이,2141
79,기타,추억여행,2135
80,레포츠,골프여행,2064
81,체험,숲체험,2060
82,레포츠,수상스키,2052
83,체험,시티투어,2046
84,기타,스탬프투어,1946
85,체험,족욕체험,1931
86,레포츠,캠핑족,1906
87,기타,테마여행,1905
88,기타,도보여행,1836
89,휴식/힐링,벚꽃여행,1806
90,체험,쿠킹클래스,1707
91,기타,걷기여행,1705
92,체험,vr체험,1702
93,체험,한옥체험,1670
94,체험,한옥스테이,1662
95,휴식/힐링,노을뷰,1649
96,미식,바베큐파티,1646
97,레포츠,산악자전거,1631
98,기타,세계일주,1604
99,레포츠,오프로드,1590
100,레포츠,캠프닉,1571
101,미식,고기파티,1568
102,기타,자유여행,1539
103,기타,유럽여행,1503
104,레포츠,스쿠버다이빙,1489
105,레포츠,패들보드,1447
106,휴식/힐링,허니문,1364
107,체험,승마체험,1362
108,체험,낚시체험,1297
109,레포츠,캠크닉,1296
110,기타,제주여행,1290
111,레포츠,바나나보트,1273
112,레포츠,노지캠핑,1265
113,기타,소싸움,1260
114,기타,세계여행,1237
115,체험,딸기체험,1223
116,레포츠,낚시여행,1205
117,휴식/힐링,우정여행,1197
118,레포츠,웨이크보드,1170
119,레포츠,루어낚시,1105
120,레포츠,암벽등반,1038
121,체험,한방족욕체험,940
122,레포츠,제트보트,931
123,레포츠,민물낚시,930
124,레포츠,캠핑여행,902
125,체험,공예체험,889
126,레포츠,윈드서핑,881
127,기타,동남아여행,878
128,레포츠,레저스포츠,863
129,체험,해양체험,854
130,휴식/힐링,태교여행,845
131,레포츠,감성캠핑,802
132,기타,역사여행,791
133,체험,요트체험,788
134,체험,수확체험,779
135,체험,동물체험,774
135,휴식/힐링,온천여행,774
137,레포츠,스킨스쿠버,733
138,체험,역사체험,723
139,휴식/힐링,감성여행,715
140,레포츠,오픈워터,672
141,체험,곤충체험,659
142,체험,요리체험,647
143,레포츠,골프투어,640
144,레포츠,패들보트,622
145,체험,다도체험,612
146,레포츠,수상스포츠,610
147,레포츠,스노우보드,569
148,체험,도자기체험,557
149,체험,먹이주기체험,543
150,기타,배낭여행,537
151,체험,한복체험,520
151,체험,놀이체험,520
153,체험,야경투어,513
154,체험,버스투어,487
155,미식,식도락여행,486
156,미식,먹킷리스트,470
157,휴식/힐링,차크닉,468
158,체험,원예체험,461
159,기타,패키지여행,451
160,체험,전통놀이체험,439
161,휴식/힐링,숲멍,438
162,미식,애프터눈티,433
163,체험,농장체험,427
164,체험,해양레저체험,408
165,체험,도예체험,398
166,레포츠,번지점프,385
167,미식,먹방여행,379
168,레포츠,padi,377
169,기타,졸업여행,373
170,레포츠,카라반캠핑,370
171,체험,향수만들기,365
171,기타,제주도여행,365
173,기타,자전거여행,356
174,레포츠,스케이트보드,354
175,체험,선상낚시체험,345
176,휴식/힐링,일몰뷰,342
176,레포츠,심해잠수,342
178,체험,배낚시체험,341
179,레포츠,ssi,336
180,휴식/힐링,즉흥여행,328
180,휴식/힐링,시골여행,328
182,휴식/힐링,산멍,322
183,체험,바다체험,314
184,체험,숙박체험,311
185,레포츠,트레일러닝,282
186,체험,공포체험,251
187,기타,중국여행,250
188,체험,카트체험,243
189,체험,물레체험,241
190,체험,목공예체험,239
191,기타,자전거투어,234
192,레포츠,아쿠아로빅,232
193,휴식/힐링,일출뷰,227
194,체험,목장체험,225
194,레포츠,모토캠핑,225
196,휴식/힐링,근교여행,221
196,레포츠,버기카,221
198,레포츠,배스낚시,217
199,체험,프리다이빙체험,215
200,휴식/힐링,숲캉스,214
201,레포츠,빙벽등반,208
201,휴식/힐링,스테이케이션,208
203,체험,염색체험,201
204,레포츠,글라이더,197
205,체험,다례체험,188
205,체험,동물먹이주기체험,188
205,기타,청춘여행,188
208,체험,공방체험,183
209,휴식/힐링,하늘멍,180
210,체험,치즈체험,179
211,레포츠,패러세일링,170
211,체험,우주체험,170
213,휴식/힐링,낭만여행,168
214,체험,사격체험,163
215,휴식/힐링,농촌여행,162
216,체험,농사체험,161
217,체험,미술체험,153
218,휴식/힐링,눈꽃여행,149
219,휴식/힐링,혼놀,148
220,미식,빵투어,146
221,체험,카누체험,145
222,체험,동물먹이체험,141
223,체험,딸기수확체험,137
224,레포츠,락클라이밍,136
225,레포츠,스카이다이빙,131
226,레포츠,클레이사격,130
227,체험,맨발체험,127
228,체험,택시투어,125
228,체험,탁본체험,125
230,체험,교복체험,124
231,기타,기념여행,118
232,미식,삼겹살파티,116
233,기타,워킹투어,115
233,기타,미국여행,115
235,레포츠,인공암벽등반,113
236,체험,루지체험,111
237,체험,달고나체험,109
237,체험,학생승마체험,109
239,레포츠,bmx,106
239,체험,바지락체험,106
241,체험,카약체험,103
242,휴식/힐링,석양뷰,100
243,레포츠,서바이벌게임,97
243,기타,일출여행,97
245,체험,해녀체험,96
246,휴식/힐링,홈캉스,95
246,체험,조개체험,95
246,기타,일몰투어,95
249,체험,텃밭체험,94
250,미식,맥주파티,92
251,레포츠,스키여행,91
252,휴식/힐링,북캉스,89
253,체험,농가체험,88
254,체험,감귤체험,86
255,체험,클라이밍체험,80
256,레포츠,페러글라이딩,79
257,기타,야외취침,78
258,체험,전통혼례체험,76
259,체험,보트체험,75
259,레포츠,줄낚시,75
259,체험,닥터피쉬체험,75
262,체험,조종체험,74
263,체험,명상체험,73
263,체험,국궁체험,73
265,체험,고택체험,72
265,체험,가죽공예체험,72
267,체험,천연염색체험,70
267,레포츠,행글라이더,70
269,레포츠,스노우쿨링,67
270,체험,민속놀이체험,64
271,체험,토끼먹이주기체험,61
272,레포츠,애슬레저,60
273,기타,도시여행,59
273,체험,비행시뮬레이션,59
273,레포츠,발야구,59
276,체험,커피체험,57
276,휴식/힐링,파도멍,57
278,레포츠,수상자전거,56
279,체험,양먹이주기체험,55
279,휴식/힐링,크루즈여행,55
281,휴식/힐링,호텔스테이,54
281,기타,열차여행,54
283,휴식/힐링,펫캉스,53
283,체험,도서관체험,53
283,체험,목판체험,53
286,체험,서핑체험,52
287,휴식/힐링,집콕생활,50
288,레포츠,스킨스쿠버다이빙,49
288,휴식/힐링,구름멍,49
290,레포츠,웨이크서핑,47
290,기타,데이트스냅,47
292,기타,무전여행,46
293,체험,돌고래체험,45
294,레포츠,써핑,44
294,레포츠,원스키,44
296,휴식/힐링,드라이브여행,43
297,체험,말타기체험,42
297,체험,활쏘기체험,42
299,체험,마차체험,41
299,체험,투명카누체험,41
301,체험,바다낚시체험,40
302,체험,타종체험,38
303,체험,블루베리체험,37
304,체험,동아리체험,36
305,체험,악기체험,35
305,휴식/힐링,숙소콕,35
305,체험,액티비티체험,35
305,체험,전쟁체험,35
309,체험,경비행기체험,33
309,레포츠,산악오토바이,33
311,체험,동굴체험,31
312,레포츠,알빙,30
313,체험,전통의상체험,29
313,레포츠,암벽등산,29
313,미식,와이너리투어,29
316,체험,향수체험,28
316,체험,산사체험,28
318,체험,야간시티투어,27
319,체험,귤체험,26
320,휴식/힐링,홈캠핑,25
320,미식,빵집순례,25
320,체험,수상레저체험,25
320,미식,먹거리여행,25
320,체험,물놀이체험,25
325,기타,문화재여행,24
325,레포츠,인라인스케이팅,24
325,체험,박물관체험,24
325,레포츠,캠핑라이프,24
325,체험,담력체험,24
330,체험,패러글라이딩체험,23
330,기타,일본관광,23
330,레포츠,숏스키,23
333,체험,한옥숙박체험,22
333,미식,와인투어,22
333,휴식/힐링,집캉스,22
336,레포츠,cmas,20
336,레포츠,씨워킹,20
338,레포츠,행글라이딩,19
338,미식,먹거리투어,19
338,레포츠,블롭점프,19
338,휴식/힐링,허니문투어,19
342,체험,스카이워크체험,18
342,기타,순례여행,18
342,체험,조향체험,18
345,기타,오지여행,17
345,체험,스노클링체험,17
347,미식,먹부림여행,16
347,레포츠,웨이크보딩,16
347,기타,해돋이여행,16
347,체험,다이빙체험,16
351,레포츠,스킨다이빙,14
351,미식,미식체험,14
351,체험,말먹이주기체험,14
351,체험,양떼목장체험,14
351,레포츠,실내스키,14
351,레포츠,골캉스,14
357,체험,건초주기체험,13
357,체험,산림문화체험,13
359,체험,레일바이크체험,12
359,레포츠,견지낚시,12
359,체험,투명카약체험,12
359,휴식/힐링,모캉스,12
359,체험,우유주기체험,12
364,기타,덕질여행,11
364,체험,귀신체험,11
364,체험,어린이승마체험,11
364,레포츠,롤러스케이팅,11
368,휴식/힐링,카캉스,10
368,휴식/힐링,키캉스,10
368,휴식/힐링,책맥,10
368,체험,해루질체험,10
368,레포츠,플라이낚시,10
373,기타,일출투어,9
373,기타,일몰여행,9
373,체험,차문화체험,9
373,체험,한복입기체험,9
373,체험,전통공예체험,9
378,레포츠,rving,8
378,휴식/힐링,몰캉스,8
378,체험,크루즈체험,8
381,체험,스쿠버체험,7
381,휴식/힐링,밀월여행,7
381,체험,라탄공예체험,7
384,체험,호텔체험,6
384,레포츠,스노우보딩,6
384,체험,기모노체험,6
384,체험,서바이벌체험,6
384,체험,씨티투어,6
384,체험,낙타체험,6
384,체험,증강현실체험,6
391,레포츠,암벽산행,5
392,레포츠,워터슬레이,4
392,체험,한라봉체험,4
392,체험,가우디투어,4
392,레포츠,naui,4
396,체험,알파카체험,3
396,체험,오프로드체험,3
396,체험,지게체험,3
396,체험,현지인체험,3
396,체험,해저체험,3
396,체험,갯배체험,3
396,체험,해병대캠프,3
396,체험,스노쿨링체험,3
404,체험,전주한옥마을체험,2
404,체험,유리공예체험,2
404,휴식/힐링,방구석캠핑,2
404,체험,어린이도자기체험,2
404,체험,카라반체험,2
404,체험,스쿠버다이빙체험,2
404,체험,수상레저스포츠체험,2
404,휴식/힐링,홈핑,2
404,체험,종이공예체험,2
404,체험,랜선체험,2
414,휴식/힐링,옥터파크,1
414,체험,양초공예체험,1
414,체험,전원생활체험,1
414,체험,옛날놀이체험,1
414,레포츠,케이빙,1
414,체험,새먹이체험,1
414,휴식/힐링,차캉스,1
414,휴식/힐링,한캉스,1
414,휴식/힐링,옥캉스,1
414,휴식/힐링,백캉스,1
414,체험,커피족욕체험,1
414,체험,방파제낚시체험,1
414,레포츠,바이크캠핑,1
